,full_text
47,"Melalui keuntungannya pada lonjakan nilai Bitcoin, Microstrategy menempati posisi pertama dalam kepemilikan Bitcoin (BTC) terbanyak oleh investor investasi.  #InstitutionalBTCholders #SobatCyra #Bitcoin #cryptotrading #cryptonews https://t.co/MxFMiRiu4c"
48,"Tidak ingin kalah saing dengan investor ritel dan VIP, investor institusi tingkatkan kepemilikan Bitcoin (BTC)📈  Kira-kira selain Microstrategy ada apa lagi ya? Check it out!  #InstitutionalBTCholders #SobatCyra #Bitcoin #cryptotrading #cryptonews https://t.co/M6i8NzHWch"
49,"Saat ini, 1 BTC setara dengan 41.892,76 USD (654 juta). Ini bukan titik tertinggi. Pada bulan Oktober 2021, nilai 1 Bitcoin pernah mencapai Rp 930 juta. Dan 1 ETH saat ini bernilai 2.228 USD (34 juta). Nilai 1 ETH bahkan sempat mencapai Rp 67,3 juta"
50,@TroyCaylak @Ordinauts @davekebo @Bitcoin_Whales_ Wami!
51,"Jenis Kripto yang populer Seiring dengan semakin berkembangnya waktu, ada banyak sekali koin-koin kripto yang muncul. Dari sekian banyak uang kripto yang ada, dua yang paling populer adalah Bitcoin (BTC) dan Ethereum (ETH)"
52,Cuan maksimal di crypto dengan memanfaatkan Bitcoin halving event #crypto
53,@cryptondo Izin cerita sebentar ya😢 Waktu itu sebenarnya saya ini udah kebelet pengin all in bitcoin di harga $34k karena saya yakin harganya bakal tinggi suatu hari nanti tapi pas nanya sana sini sama orang dan minta saran malah ditakut takutin dan diwanti wanti ini itu .
54,VİRA BİSMİLLAH 😌 . . .  #eurnzd #us100 #xmturkey #metatrader #xm #nasdaq #bist100 #bitcoin #dax https://t.co/WcYm7yilqX
55,"Psstt..ada hadiah *Bitcoin hingga Rp6 juta* yang bisa kamu menangin! Yuk, install Ajaib Kripto dengan Kode Ajaib anto6gjh dmulai perjalanan investasi kriptomu untuk terus dapat hadiah. Klik di sini: https://t.co/hRC7UTKech"
56,@SarahConnor2022 Investi in #bitcoin
57,@WithAliJutt Bitcoin trading sekhni hai
58,"Dalam serangkaian peristiwa dramatis, harga kripto utama Bitcoin (BTC) telah mengalami penurunan harian terbesar dalam hampir empat bulan, namun analis melihat peluang untuk melesat lebih tinggi.  https://t.co/OvUJL9fwRV"
59,"Hasil live draw BERLIN 15, 12 DESEMBER 2023 Result : 5733 Shio   : Kambing Selamat kepada para pemenang! #legiontoto #situstogelonline #agentogelonline #ConcertENGFAinCambodia #slotgacor #Bitcoin #viralindo #Chika #Desember #Ngekos #Selingkuh3x"
60,"@jokowi lebih baiknya uangnya untuk membangun negeri sendiri pak, arab ga butuh uang kita sudah kaya raya mereka, udah ribuan tahun jualan kurma dan air zamzam, udah banyak profitnya itu ..."
61,"#Google telah memperbolehkan iklan tentang #crypto trust mulai akhir Januari, seiring dengan antisipasi persetujuan dana yang diperdagangkan di bursa (ETF) #Bitcoin di AS."
62,Jamie Dimon CEO JP Morgan Warren Buffet  Chairman Berkshire Hathway  hari hari meratip Bitcoin SCAM tapi ada company/coin dalam blockchain🤭
63,Ada yang pantau $FET? Cukup menarik 🤭 https://t.co/HQ7H18b9v5
64,Gari Panda #1 https://t.co/6sIH3kPcce #Bitcoin #Sol #nft #solana #Garipandano1 https://t.co/101P3GBm8x
65,Bitcoin Stabil di US$42 Ribu Usai Koreksi Terburuk Sejak Agustus https://t.co/JxrDi0BpLn
66,@Qstnaadi Beli apa jadahnya. Kau hutang dengan bank bukan beli. Kalau beli kau bayar cash.
67,"Harga Bitcoin merosot 5,74% dalam 24 jam terakhir dan 1,49% dalam seminggu. Saat ini, Bitcoin diperdagangkan di level USD 41.181 atau sekitar Rp 644,6 juta."
68,"Harga Bitcoin dan kripto teratas lainnya bergerak beragam pada pasar hari ini, Selasa (12/12/2023). Berikut harga koin mayoritas hari ini: https://t.co/9TDI6BGdoy"
69,@SimoneLobandji @matumo_b Ntabwo ari impanuka kuri njye kumenya uko Bitcoin ikora Byabaye byiza cyane mfashijwe na @Lucille0191 kandi ntagushidikanya ko ibyagezweho muri bitcoin kugeza ubu.  Ubuzima bwanjye bwagize ingaruka kubwinyigisho nagize muri sosiyete DM @Lucille0191 kuri infor nyinshi.
70,@rigogaruth @Samishimwe Ntabwo ari impanuka kuri njye kumenya uko Bitcoin ikora Byabaye byiza cyane mfashijwe na @Lucille0191 kandi ntagushidikanya ko ibyagezweho muri bitcoin kugeza ubu.  Ubuzima bwanjye bwagize ingaruka kubwinyigisho nagize muri sosiyete DM @Lucille0191 kuri infor nyinshi.
71,tanyarl kalian pada tahu bitcoin ga sih? Ada yg udh pada beli atau skeptis bitcoin itu apa?
